Raca,Sexo,Idade,peso_kg,porte_animal,Nivel_Atividade_Pet,Dieta_Atual,Marca_Racao,caminhada_diaria_km,Medicamentos,Convulsoes,Horas_Sono,Tempo_Brincadeira_Horas,Visitas_Anuais_Veterinario,calorias_diarias_RER,Status_Saude,Recomendacao_Racao_IA
Chihuahua,Macho,3.0,11.79,Médio,Ativo,Especial,Iams,4.83,Sim,Não,12.0,1.0,1.0,445.38,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
German Shepherd,Fêmea,11.0,17.24,Médio,Muito Ativo,Úmida,Purina,1.61,Não,Não,12.0,1.0,1.0,592.24,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,Macho,9.0,29.48,Grande,Ativo,Especial,Wellness,4.83,Não,Não,12.0,1.0,1.0,885.61,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Great Dane,Macho,6.0,29.48,Grande,Baixo,Especial,Blue Buffalo,1.61,Sim,Não,8.0,2.0,1.0,885.61,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Chihuahua,Macho,10.0,6.8,Pequeno,Moderado,Úmida,Wellness,4.83,Sim,Não,8.0,3.0,1.0,294.77,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Beagle,Macho,11.0,23.59,Médio,Ativo,Especial,Nutro,6.44,Sim,Não,11.0,1.0,0.0,749.28,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,Fêmea,13.0,14.51,Médio,Moderado,Úmida,Pedigree,6.44,Não,Não,13.0,2.0,2.0,520.41,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Siberian Husky,Fêmea,13.0,11.79,Médio,Muito Ativo,Ração Seca,Hill's Science,8.05,Não,Não,10.0,1.0,2.0,445.38,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Rottweiler,Macho,2.0,29.94,Grande,Ativo,Caseira,Special,1.61,Sim,Não,14.0,1.0,1.0,895.96,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,Macho,13.0,22.68,Médio,Moderado,Ração Seca,Iams,0.0,Não,Não,10.0,2.0,2.0,727.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
German Shepherd,Fêmea,5.0,28.58,Grande,Ativo,Especial,Nutro,6.44,Não,Não,10.0,2.0,0.0,865.26,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Rottweiler,Fêmea,13.0,19.5,Médio,Ativo,Especial,Nutro,6.44,Sim,Não,11.0,1.0,3.0,649.57,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Australian Shepherd,Macho,10.0,31.3,Grande,Muito Ativo,Ração Seca,Wellness,1.61,Não,Não,10.0,3.0,4.0,926.31,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,Macho,8.0,25.4,Grande,Baixo,Especial,Wellness,4.83,Não,Não,12.0,2.0,2.0,792.0,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,Macho,2.0,26.31,Grande,Ativo,Úmida,Wellness,3.22,Sim,Não,9.0,1.0,2.0,813.18,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Siberian Husky,Fêmea,4.0,31.3,Grande,Ativo,Ração Seca,Purina,3.22,Não,Sim,11.0,0.0,1.0,926.31,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Rottweiler,Fêmea,13.0,12.25,Médio,Muito Ativo,Caseira,Special,0.0,Sim,Não,13.0,1.0,2.0,458.35,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Golden Retriever,Fêmea,9.0,29.48,Grande,Moderado,Úmida,Purina,4.83,Sim,Não,9.0,2.0,2.0,885.61,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Dachshund,Macho,10.0,23.13,Médio,Baixo,Úmida,Wellness,4.83,Não,Não,12.0,2.0,2.0,738.29,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,Fêmea,12.0,26.76,Grande,Ativo,Caseira,Special,9.66,Não,Sim,10.0,2.0,1.0,823.59,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,Fêmea,9.0,14.06,Médio,Baixo,Especial,Pedigree,6.44,Não,Não,13.0,2.0,0.0,508.26,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,Macho,12.0,14.97,Médio,Moderado,Úmida,Wellness,4.83,Sim,Não,12.0,3.0,0.0,532.74,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Great Dane,Macho,2.0,31.3,Grande,Ativo,Ração Seca,Wellness,1.61,Não,Não,11.0,0.0,1.0,926.31,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Yorkshire Terrier,Fêmea,2.0,20.41,Médio,Baixo,Ração Seca,Wellness,4.83,Não,Não,9.0,1.0,0.0,672.17,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Golden Retriever,Macho,4.0,29.03,Grande,Ativo,Úmida,Royal Canin,8.05,Não,Não,12.0,2.0,2.0,875.45,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Chihuahua,Fêmea,13.0,4.54,Pequeno,Baixo,Úmida,Blue Buffalo,0.0,Não,Não,13.0,1.0,0.0,217.72,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Great Dane,Fêmea,12.0,18.6,Médio,Moderado,Ração Seca,Blue Buffalo,4.83,Não,Não,10.0,1.0,0.0,626.95,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Rottweiler,Macho,7.0,21.77,Médio,Ativo,Úmida,Pedigree,6.44,Não,Não,12.0,0.0,0.0,705.49,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Poodle,Fêmea,9.0,27.67,Grande,Ativo,Especial,Nutro,1.61,Não,Não,10.0,2.0,0.0,844.51,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Siberian Husky,Fêmea,8.0,22.23,Médio,Ativo,Úmida,Hill's Science,4.83,Não,Não,13.0,2.0,1.0,716.64,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Rottweiler,Fêmea,11.0,26.76,Grande,Moderado,Ração Seca,Iams,1.61,Sim,Não,10.0,1.0,0.0,823.59,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
German Shepherd,Fêmea,5.0,20.87,Médio,Moderado,Úmida,Hill's Science,4.83,Sim,Não,10.0,3.0,3.0,683.5,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Poodle,Fêmea,7.0,15.42,Médio,Ativo,Especial,Wellness,1.61,Sim,Não,12.0,1.0,1.0,544.7,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,Fêmea,12.0,20.41,Médio,Ativo,Úmida,Nutro,6.44,Sim,Sim,12.0,3.0,1.0,672.17,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
German Shepherd,Fêmea,4.0,11.79,Médio,Baixo,Caseira,Special,9.66,Sim,Não,10.0,1.0,3.0,445.38,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,Fêmea,8.0,27.22,Grande,Ativo,Úmida,Iams,4.83,Sim,Não,11.0,2.0,1.0,834.19,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
German Shepherd,Fêmea,2.0,34.93,Grande,Moderado,Ração Seca,Iams,3.22,Não,Não,11.0,1.0,4.0,1005.77,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,Fêmea,6.0,28.12,Grande,Baixo,Ração Seca,Wellness,3.22,Não,Não,10.0,1.0,2.0,854.79,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,Macho,7.0,29.94,Grande,Ativo,Úmida,Hill's Science,3.22,Não,Não,10.0,2.0,3.0,895.96,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,Macho,8.0,19.05,Médio,Baixo,Especial,Purina,4.83,Não,Não,12.0,2.0,3.0,638.29,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,Macho,12.0,28.12,Grande,Moderado,Úmida,Iams,0.0,Não,Sim,9.0,1.0,1.0,854.79,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Golden Retriever,Macho,1.0,34.02,Grande,Ativo,Úmida,Blue Buffalo,3.22,Sim,Não,12.0,0.0,0.0,986.05,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Labrador Retriever,Fêmea,4.0,18.14,Médio,Muito Ativo,Ração Seca,Purina,4.83,Não,Não,13.0,0.0,2.0,615.28,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,Macho,8.0,28.58,Grande,Ativo,Ração Seca,Blue Buffalo,4.83,Não,Não,10.0,3.0,0.0,865.26,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Beagle,Fêmea,13.0,18.6,Médio,Ativo,Úmida,Purina,6.44,Não,Não,12.0,1.0,0.0,626.95,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Yorkshire Terrier,Macho,11.0,28.58,Grande,Baixo,Úmida,Iams,4.83,Não,Não,12.0,1.0,0.0,865.26,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,Macho,5.0,17.24,Médio,Ativo,Ração Seca,Royal Canin,3.22,Não,Não,12.0,3.0,3.0,592.24,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,Macho,10.0,23.59,Médio,Baixo,Caseira,Special,3.22,Sim,Sim,10.0,2.0,3.0,749.28,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Golden Retriever,Fêmea,5.0,32.21,Grande,Moderado,Caseira,Special,3.22,Não,Não,10.0,2.0,1.0,946.44,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Beagle,Macho,9.0,13.61,Médio,Moderado,Ração Seca,Purina,3.22,Sim,Não,11.0,0.0,4.0,496.01,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Golden Retriever,Macho,1.0,15.88,Médio,Ativo,Ração Seca,Royal Canin,9.66,Sim,Não,14.0,1.0,1.0,556.85,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Boxer,Macho,10.0,18.6,Médio,Muito Ativo,Especial,Royal Canin,8.05,Sim,Não,11.0,3.0,2.0,626.95,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,Fêmea,9.0,23.13,Médio,Moderado,Especial,Blue Buffalo,3.22,Sim,Não,9.0,2.0,1.0,738.29,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Dachshund,Fêmea,13.0,28.12,Grande,Baixo,Úmida,Wellness,6.44,Sim,Não,12.0,2.0,0.0,854.79,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Dachshund,Fêmea,10.0,24.95,Médio,Moderado,Caseira,Special,1.61,Sim,Não,12.0,2.0,4.0,781.45,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Golden Retriever,Fêmea,9.0,22.68,Médio,Ativo,Caseira,Special,3.22,Não,Não,11.0,1.0,1.0,727.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,Fêmea,13.0,38.1,Grande,Baixo,Caseira,Special,3.22,Sim,Não,13.0,1.0,0.0,1073.47,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Yorkshire Terrier,Fêmea,13.0,6.35,Pequeno,Ativo,Especial,Wellness,3.22,Sim,Não,12.0,1.0,3.0,280.01,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Beagle,Fêmea,6.0,25.4,Grande,Moderado,Úmida,Special,4.83,Não,Não,12.0,2.0,0.0,792.0,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Yorkshire Terrier,Macho,2.0,13.15,Médio,Ativo,Ração Seca,Nutro,1.61,Sim,Não,10.0,3.0,3.0,483.38,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,Macho,11.0,15.42,Médio,Moderado,Caseira,Special,3.22,Não,Sim,9.0,3.0,3.0,544.7,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,Macho,9.0,25.85,Grande,Muito Ativo,Caseira,Special,4.83,Sim,Não,12.0,1.0,1.0,802.5,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Rottweiler,Macho,11.0,32.21,Grande,Muito Ativo,Especial,Iams,8.05,Não,Não,14.0,1.0,1.0,946.44,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Yorkshire Terrier,Macho,12.0,33.11,Grande,Muito Ativo,Caseira,Special,3.22,Não,Não,10.0,2.0,0.0,966.2,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Great Dane,Fêmea,7.0,25.85,Grande,Baixo,Especial,Nutro,4.83,Sim,Sim,10.0,3.0,1.0,802.5,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Dachshund,Macho,7.0,41.28,Grande,Muito Ativo,Caseira,Special,3.22,Sim,Não,11.0,0.0,1.0,1139.99,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,Macho,1.0,13.61,Médio,Ativo,Úmida,Blue Buffalo,4.83,Não,Não,11.0,2.0,2.0,496.01,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Dachshund,Macho,9.0,9.98,Pequeno,Ativo,Caseira,Special,4.83,Sim,Não,9.0,1.0,1.0,393.05,Não,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Chihuahua,Macho,2.0,22.23,Médio,Muito Ativo,Caseira,Special,1.61,Não,Não,13.0,1.0,1.0,716.64,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,Fêmea,12.0,19.5,Médio,Muito Ativo,Especial,Royal Canin,3.22,Sim,Não,10.0,2.0,1.0,649.57,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,Macho,1.0,21.77,Médio,Baixo,Úmida,Hill's Science,8.05,Não,Não,12.0,0.0,0.0,705.49,Não,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken"
Siberian Husky,Fêmea,4.0,24.49,Médio,Baixo,Caseira,Special,3.22,Sim,Não,10.0,3.0,2.0,770.62,Sim,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
